# Energy(keV) Counts
2.5 0
7.5 0
12.5 0
17.5 0
22.5 0
27.5 0
32.5 0
37.5 0
42.5 0
47.5 0
52.5 0
57.5 0
62.5 0
67.5 0
72.5 0
77.5 0
82.5 0
87.5 0
92.5 0
97.5 0
102.5 0
107.5 0
112.5 0
117.5 0
122.5 0
127.5 0
132.5 0
137.5 0
142.5 0
147.5 0
152.5 0
157.5 0
162.5 0
167.5 0
172.5 0
177.5 0
182.5 0
187.5 0
192.5 0
197.5 0
202.5 0
207.5 0
212.5 0
217.5 0
222.5 0
227.5 0
232.5 0
237.5 0
242.5 0
247.5 0
252.5 0
257.5 0
262.5 0
267.5 0
272.5 0
277.5 0
282.5 0
287.5 0
292.5 0
297.5 0
302.5 0
307.5 0
312.5 0
317.5 0
322.5 0
327.5 0
332.5 0
337.5 0
342.5 0
347.5 0
352.5 0
357.5 0
362.5 0
367.5 0
372.5 0
377.5 0
382.5 0
387.5 0
392.5 0
397.5 0
402.5 0
407.5 0
412.5 0
417.5 0
422.5 0
427.5 0
432.5 0
437.5 0
442.5 0
447.5 0
452.5 0
457.5 0
462.5 0
467.5 0
472.5 0
477.5 0
482.5 0
487.5 0
492.5 0
497.5 0
502.5 0
507.5 0
512.5 0
517.5 0
522.5 0
527.5 0
532.5 0
537.5 0
542.5 0
547.5 0
552.5 0
557.5 0
562.5 0
567.5 0
572.5 0
577.5 0
582.5 0
587.5 0
592.5 0
597.5 0
602.5 0
607.5 0
612.5 0
617.5 0
622.5 0
627.5 0
632.5 0
637.5 0
642.5 0
647.5 0
652.5 0
657.5 0
662.5 0
667.5 0
672.5 0
677.5 0
682.5 0
687.5 0
692.5 0
697.5 0
702.5 0
707.5 0
712.5 0
717.5 0
722.5 0
727.5 0
732.5 0
737.5 0
742.5 0
747.5 0
752.5 0
757.5 0
762.5 0
767.5 0
772.5 0
777.5 0
782.5 0
787.5 0
792.5 0
797.5 0
802.5 0
807.5 0
812.5 0
817.5 0
822.5 0
827.5 0
832.5 0
837.5 0
842.5 0
847.5 0
852.5 0
857.5 0
862.5 0
867.5 0
872.5 0
877.5 0
882.5 0
887.5 0
892.5 0
897.5 0
902.5 0
907.5 0
912.5 0
917.5 0
922.5 0
927.5 0
932.5 0
937.5 0
942.5 0
947.5 0
952.5 0
957.5 0
962.5 0
967.5 0
972.5 0
977.5 0
982.5 0
987.5 0
992.5 0
997.5 0
1002.5 0
1007.5 22
1012.5 30
1017.5 26
1022.5 24
1027.5 21
1032.5 36
1037.5 22
1042.5 27
1047.5 24
1052.5 27
1057.5 21
1062.5 18
1067.5 20
1072.5 15
1077.5 25
1082.5 18
1087.5 27
1092.5 12
1097.5 21
1102.5 26
1107.5 11
1112.5 9
1117.5 12
1122.5 17
1127.5 18
1132.5 17
1137.5 20
1142.5 26
1147.5 15
1152.5 11
1157.5 17
1162.5 18
1167.5 10
1172.5 25
1177.5 20
1182.5 13
1187.5 23
1192.5 31
1197.5 65
1202.5 93
1207.5 175
1212.5 201
1217.5 223
1222.5 168
1227.5 86
1232.5 54
1237.5 25
1242.5 11
1247.5 11
1252.5 14
1257.5 8
1262.5 20
1267.5 11
1272.5 16
1277.5 14
1282.5 15
1287.5 22
1292.5 15
1297.5 21
1302.5 33
1307.5 20
1312.5 23
1317.5 39
1322.5 108
1327.5 195
1332.5 276
1337.5 339
1342.5 233
1347.5 168
1352.5 50
1357.5 32
1362.5 25
1367.5 21
1372.5 25
1377.5 30
1382.5 31
1387.5 37
1392.5 47
1397.5 72
1402.5 83
1407.5 86
1412.5 110
1417.5 115
1422.5 89
1427.5 99
1432.5 123
1437.5 105
1442.5 109
1447.5 122
1452.5 130
1457.5 85
1462.5 69
1467.5 63
1472.5 30
1477.5 40
1482.5 25
1487.5 25
1492.5 34
1497.5 27
1502.5 41
1507.5 70
1512.5 90
1517.5 157
1522.5 147
1527.5 172
1532.5 128
1537.5 80
1542.5 42
1547.5 28
1552.5 16
1557.5 18
1562.5 14
1567.5 23
1572.5 17
1577.5 24
1582.5 20
1587.5 28
1592.5 21
1597.5 43
1602.5 62
1607.5 105
1612.5 117
1617.5 145
1622.5 110
1627.5 68
1632.5 49
1637.5 27
1642.5 26
1647.5 33
1652.5 21
1657.5 20
1662.5 26
1667.5 18
1672.5 27
1677.5 31
1682.5 37
1687.5 26
1692.5 32
1697.5 43
1702.5 69
1707.5 116
1712.5 202
1717.5 352
1722.5 599
1727.5 655
1732.5 505
1737.5 294
1742.5 150
1747.5 72
1752.5 60
1757.5 42
1762.5 45
1767.5 48
1772.5 47
1777.5 54
1782.5 50
1787.5 45
1792.5 61
1797.5 57
1802.5 76
1807.5 92
1812.5 99
1817.5 144
1822.5 262
1827.5 567
1832.5 1044
1837.5 1484
1842.5 1796
1847.5 1835
1852.5 1570
1857.5 1284
1862.5 724
1867.5 401
1872.5 199
1877.5 130
1882.5 124
1887.5 106
1892.5 99
1897.5 99
1902.5 80
1907.5 86
1912.5 71
1917.5 67
1922.5 56
1927.5 70
1932.5 58
1937.5 57
1942.5 67
1947.5 38
1952.5 53
1957.5 43
1962.5 55
1967.5 41
1972.5 31
1977.5 29
1982.5 37
1987.5 44
1992.5 40
1997.5 38
2002.5 27
2007.5 39
2012.5 31
2017.5 39
2022.5 33
2027.5 45
2032.5 73
